Topic,Count,Name,Representation,Representative_Docs
-1,140,-1_food_healthy_expensive_income,"['food', 'healthy', 'expensive', 'income', 'good', 'high', 'faculty', 'just', 'healthy food', 'costs']","['i can access healthy food very easily however i love junk food healthy food spoils quicklyas a rule', 'lack of choices when it comes to buying food i would rather eat healthy organic food not processed foods but it costs more to eat healthy so i choose to eat less to eat safer foods that are healthy', 'healthy food is much more expensive now than ever before especially in new mexico inflation is forcing my family to choose less healthy options higher education salaries need to catch up with the actual inflation costs related to food we are paying more than double for food now than we did preinflation spike']"
0,67,0_rising_cost_prices_food,"['rising', 'cost', 'prices', 'food', 'high', 'increased', 'cost food', 'costs', 'price', 'rising cost']","['rising prices', 'rising cost of food', 'only our cooperative grocery store sells primarily organic healthy food its hours and size are not as convenient as other grocery stores who sell 10 organic offerings also the food served to my child in public school is prepackaged sugar added especially chocolate milk and he says no white milk is available most days oily low quality cheap truckedin rather than fresh food so i send a home lunch with him at least two days per week he wants to fit in so i allow him to eat this very poor quality food we serve our american children 23 times per week most days he says it is gross or unappetizing he came from a private school who had their own garden and made fresh food for the children in their kitchen every day my public high school growing up made much of their food on site why has that changed why are we skimping and buying only sysco prepackaged canned food for our children now what has happened to the budget for food in the public school system']"
1,50,1_grocery_store_grocery store_fresh,"['grocery', 'store', 'grocery store', 'fresh', 'town', 'rural', 'stores', 'grocery stores', 'area', 'lack']","['lack of grocery store options', 'lack of grocery store options poorlacking inventory at the available grocery stores', 'only one grocery store in town']"
2,32,2_any_1_know_,"['any', '1', 'know', '', '', '', '', '', '', '']","['1', 'i do not have any', 'any']"
3,32,3_money_lack money_lack_job,"['money', 'lack money', 'lack', 'job', 'no money', 'financial', 'no', 'poor', 'issues', 'money month']","['lack of enough money', 'lack of enough money', 'lack of money']"
4,30,4_cost_expensive_price_expensive cost,"['cost', 'expensive', 'price', 'expensive cost', 'available', 'prepare', 'quality', 'poor quality', 'preparation', 'production']","['cost', 'cost', 'cost']"
5,26,5_time_prepare_meals_cook,"['time', 'prepare', 'meals', 'cook', 'healthy meals', 'schedule', 'eat', 'food time', 'time prepare', 'work']","['long and busy work days often mean i do not have tiem to eat during the day and do not have time to cook healthy meals during the week', 'time to cook healthy meals', 'struggles with schedule time to prepare and make food time for family to eat it']"
6,26,6_expensive_healthy_healthy food_cost healthy,"['expensive', 'healthy', 'healthy food', 'cost healthy', 'food expensive', 'healthy food expensive', 'options', 'cost healthy food', 'food', 'foods']","['healthy whole foods are much more expensive than fast food or other highly processed foods healthy food often requires more time to prepare than processed or fast food', 'healthy food is expensive', 'healthy food is more expensive']"
7,23,7_low_pay_low pay_unm,"['low', 'pay', 'low pay', 'unm', 'wage', 'living wage', 'salary', 'living', 'low salary', 'income']","['pay from this institution is too low', 'low adjuct pay', 'low pay for adjuncts']"
8,23,8_money_financial_water_time,"['money', 'financial', 'water', 'time', 'house', 'finances', 'times', 'transportation', 'time time', 'availability']","['money', 'money', 'money']"
9,22,9_able_budget_make_money,"['able', 'budget', 'make', 'money', 'food', 'balanced', 'month', 'household', 'meals', 'healthy']","['looming debt plus housing expense insecurity make it hard to justify spending much money on food i try to eat as cheaply as i can in hopes of being able to keep a roof over my head', 'i make too much money to qualify for any of these programs however i do not make enough money to support healthy balanced meals since they are so expensive normally i have to put less healthy options to get by', 'it is too expensive and goes bad too fast i do not have time to cook or the energy to cook i do not make enough every month and am often worried about money i am in tremendous debt and my money goes to paying off bills before i can spend it on food']"
10,21,10_obstacles_no obstacles_no_any obstacles,"['obstacles', 'no obstacles', 'no', 'any obstacles', 'obstacle', 'jobs', 'any', 'thankfully', 'availability certain', 'main']","['no obstacles', 'i have no obstacles', 'i have no obstacles']"
11,21,11_no_yes_unknown_fortunate,"['no', 'yes', 'unknown', 'fortunate', '', '', '', '', '', '']","['no', 'no', 'no']"
12,20,12_healthy food_healthy_food options_food,"['healthy food', 'healthy', 'food options', 'food', 'options', 'healthy food options', 'expensive', 'people', 'healthy foods', 'foods']","['i live in espanola and there is very little access to healthy food in the town in general people must travel outside the town to buy good produce or eat healthy food', 'limited healthy food options in my neighborhood i have to travel at least 10 miles to get health food', 'few healthy food options on campus especially for people with dietary restrictions']"
13,20,13_working_parttime_parents_help,"['working', 'parttime', 'parents', 'help', 'hours', 'work', 'bills', 'person', 'balance', 'time']","['at the time i was making less money at a different college and had both parents living with me making my household a total of 3 there was less money and more mouths to feed', 'my elderly parents are sick and there healthcare bills are too high i help pay those bills i have to help take care of my parents and therefore there is not enough money to buy food or gas', 'i am a full time student working two jobs regular 40 and weekend 16 hours it is difficult of my housing situation that is not feasible to live in so i stay all over with relatives and at times my little home on the reservation which does not have a heating system but no where to go because of my full time position i must keep']"
14,19,14_stale_pesticides_hygiene_food,"['stale', 'pesticides', 'hygiene', 'food', 'water', 'biggest', 'grain', 'easy access', 'food fast', 'problems']","['worrying about pesticides in food is not good for your health', 'stale grain that has been placed too long', 'the food is stale and stale']"
15,14,15_food insecurity_insecurity_fortunate_food,"['food insecurity', 'insecurity', 'fortunate', 'food', 'live', 'parents', 'access', 'any food', 'age', 'neighborhood']","['i am fortunate to not have any food insecurity but it is heartbreaking to read these questions and think that many are answering yes', 'while i definitely experienced food insecurity as a child i have never had food insecurity after the age of 18 when i went to college on scholarships and loans', 'i am very fortunate not have be faced with food insecurity']"
16,13,16_time time_time_biggest_time energy,"['time time', 'time', 'biggest', 'time energy', 'energy time', 'busy work', 'albuquerque', 'work time', 'time constraints', 'busy']","['time', 'time', 'time']"
17,10,17_inflation_inflation cost_location_choices,"['inflation', 'inflation cost', 'location', 'choices', 'bills', 'cost', '', '', '', '']","['inflation', 'inflation', 'inflation']"
18,8,18_half_issue_bad_,"['half', 'issue', 'bad', '', '', '', '', '', '', '']","['not applicable', 'not an issue', 'not half bad']"
19,7,19_received_pay_increase_inflation,"['received', 'pay', 'increase', 'inflation', 'rate', 'support', 'rise food costs', 'food buy', 'rise food', 'increase food prices']","['inflation i have not received raises that keep up with inflation every year my income decreases as inflation increases with the massive inflation recently i am slipping into lower middle class status', 'increase in food prices increase in pay rate led to less money received due to employer contribution reduction towards benefits', 'finances due to rise is food costs and no pay increase even though i received my mba in fall']"
